question_text,option_a,option_b,option_c,option_d,correct_option
"Which of the following is the primary cause of lung cancer in non-smokers?","Genetic mutations leading to abnormal cell division","Exposure to radon gas and secondhand smoke","Chronic respiratory infections","Overconsumption of fatty foods","B"
"Which part of the human brain is primarily responsible for regulating body temperature?","Hypothalamus","Medulla oblongata","Cerebellum","Pons","A"
"What is the main function of the spleen in the human body?","Filter blood and recycle iron from red blood cells","Store bile for digestion","Produce white blood cells for the immune response","Regulate blood sugar levels","A"
"Which of the following structures in the human body is responsible for the exchange of gases during respiration?","Alveoli","Bronchi","Trachea","Larynx","A"
"In which part of the human body would you find the largest concentration of lymph nodes?","Neck","Abdomen","Armpits","Groin","A"
"Which of the following is a characteristic of the parasympathetic nervous system?","It slows heart rate and promotes digestion","It increases heart rate and dilates pupils","It triggers the 'fight or flight' response","It controls voluntary muscle movements","A"
"What is the function of the enzyme lipase in the human digestive system?","Breaking down fats into fatty acids and glycerol","Breaking down proteins into amino acids","Breaking down carbohydrates into simple sugars","Neutralizing stomach acids","A"
"Which of the following is the most significant effect of aging on the immune system?","Decreased production of new T-cells and B-cells","Increased production of antibodies","Improved ability to fight infections","Faster wound healing","A"
"What causes the condition known as scurvy?","Deficiency of Vitamin C","Deficiency of Vitamin B12","Deficiency of Vitamin D","Deficiency of Calcium","A"
"Which of the following is most commonly associated with the development of Type 1 diabetes?","Autoimmune destruction of insulin-producing beta cells in the pancreas","Increased resistance to insulin in the body's cells","Overproduction of insulin in the pancreas","Defective glucose uptake by muscle cells","A"
"In an action potential, what occurs during the depolarization phase?","Sodium channels open, allowing sodium ions to flow into the cell","Potassium channels open, allowing potassium ions to flow out of the cell","Chloride channels open, allowing chloride ions to flow into the cell","Sodium and potassium ions switch places across the membrane","A"
"Which of the following is the primary method by which oxygen is transported in the blood?","Bound to hemoglobin in red blood cells","Dissolved in plasma","Bound to albumin in plasma","Attached to white blood cells","A"
"Which organ is responsible for filtering the blood and producing urine?","Kidneys","Liver","Heart","Spleen","A"
"Which of the following is an autoimmune disease?","Multiple sclerosis","Asthma","Tuberculosis","Influenza","A"
"Which of the following is a function of the large intestine?","Absorption of water and electrolytes from indigestible food matter","Secretion of digestive enzymes for protein breakdown","Absorption of nutrients from food","Storage of bile for fat digestion","A"
"Which type of white blood cell is most important for the body's defense against viral infections?","T lymphocytes","B lymphocytes","Neutrophils","Eosinophils","A"
"Which structure of the human heart receives deoxygenated blood from the body?","Right atrium","Left atrium","Right ventricle","Left ventricle","A"
"What is the primary role of the liver in carbohydrate metabolism?","Converting excess glucose to glycogen for storage","Breaking down glucose for energy production","Regulating blood pressure","Converting fats to proteins","A"
"Which of the following is the result of the activation of the renin-angiotensin system?","Increased blood pressure","Decreased heart rate","Decreased blood volume","Increased oxygen delivery to tissues","A"
"Which of the following hormones is responsible for stimulating milk production in females?","Prolactin","Oxytocin","Estrogen","Progesterone","A"
"What is the main cause of cystic fibrosis?","Defect in the CFTR gene leading to faulty chloride ion transport","Deficiency of the enzyme amylase in the pancreas","Mutation in the hemoglobin gene","Defective insulin production in the pancreas","A"
"Which of the following is the most common cause of chronic obstructive pulmonary disease (COPD)?","Cigarette smoking","Air pollution","Viral infections","Genetic factors","A"
"What happens during the process of synaptic transmission in the nervous system?","Neurotransmitters are released into the synaptic cleft and bind to receptors on the post-synaptic neuron","Electrical impulses jump across the synapse to the next neuron","Myelin sheaths speed up the electrical impulses across synapses","Neurotransmitters are absorbed back into the pre-synaptic neuron after binding to receptors","A"
"Which of the following is the function of the pituitary gland?","Secretes hormones that regulate growth, reproduction, and metabolism","Stores bile for digestion","Produces digestive enzymes","Filters toxins from the blood","A"
"Which of the following cells is responsible for the production of antibodies?","B lymphocytes","T lymphocytes","Macrophages","Neutrophils","A"
"What is the most common cause of a stroke?","Disruption of blood flow to the brain due to a clot or hemorrhage","Infection of the brain tissue","Compression of the brain by a tumor","Low blood pressure causing brain ischemia","A"
"Which part of the human immune system provides the first line of defense against pathogens?","Skin and mucosal barriers","T-cells and B-cells","Phagocytes","Antibodies","A"
"How does the body compensate for a decrease in blood oxygen levels?","Increased erythropoietin production to stimulate red blood cell production","Increased blood flow to the lungs to improve gas exchange","Increased breathing rate to enhance oxygen intake","All of the above","D"
"Which of the following is most commonly associated with sickle cell anemia?","Mutation in the hemoglobin gene causing deformed red blood cells","Lack of oxygen supply leading to white blood cell production","Excessive iron build-up in the blood","Deficiency of hemoglobin in red blood cells","A"
"Which of the following best describes the function of the enzyme amylase?","Breaking down starch into simple sugars","Breaking down fats into fatty acids and glycerol","Breaking down proteins into amino acids","Breaking down nucleic acids into nucleotides","A"
"Which of the following causes the release of histamine during an allergic reaction?","Activation of mast cells by allergens","Activation of T lymphocytes","Exposure to bacteria","Overproduction of antibodies","A"
"What is the primary function of the lymphatic system?","Transporting lymph, nutrients, and waste materials throughout the body","Filtering blood to remove toxins","Regulating blood sugar levels","Transporting hormones produced by the endocrine glands","A"
"Which condition is associated with a deficiency of vitamin D?","Rickets","Scurvy","Beriberi","Pellagra","A"
"What is the cause of Down syndrome?","An extra copy of chromosome 21","A mutation in the CFTR gene","A deficiency of vitamin B12","A mutation in the APC gene","A"
"Which of the following hormones is responsible for regulating the sleep-wake cycle?","Melatonin","Adrenaline","Insulin","Cortisol","A"
